"Repartición Licitante","Tipo de Licitación","Nro. Expediente","Año Expediente","Objeto","Monto Oficial","Costo Pliego","Sellado","Observaciones","Fecha Apertura","Fecha Resolución","Nro. Resolución","Tipo de Norma","Nro de Norma","Año Norma","Resultado","Estado","Link",
"Secretaría de Cultura y Educación","Concurso de Precios",39911,2022,"Adquisición de artículos de ferretería para la Dirección General de Producción Estratégica","314.290,11",",00",",00","","02/01/2023","16/01/2023",31,,,,"Se adjudico a Nicolás Robertazzo (Titular de ""El Nudo ferretería"") por los ítems 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16 y 17 por la suma total de $ 313.538,52.- (Pesos Trescientos Trece Mil Quinientos Treinta y Ocho con 52/100). Los ítems 10 y 15 se declaran fracasados.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26667",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",80148,2022,"CONTRATACIÓN DE COLECTIVOS PARA LA DIRECCIÓN GENERAL DE INTEGRACIÓN COMUNITARIA ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","1.996.400,00",",00",",00","","02/01/2023","04/01/2023",7,,,,"Item 2: A la firma: PAGANI, FACUNDO ANGEL por la suma de $24.300,00 c/u. Por única propuesta y precio corriente en plaza. 
Item 3: A la firma:AIRA, NADIA IVANA  por la suma de $24.000,00 c/u. Por única propuesta y precio corriente en plaza. 
Item 4: A la firma: CHUROV, MAXIMILIANO por la suma de $23.500,00 c/u. Por mejor precio. 
Item 5: A la firma: PAGANI, FACUNDO ANGEL por la suma de $24.300,00 c/u. Por única propuesta y precio corriente en plaza.
Item 6: A la firma: PAGANI, FACUNDO ANGEL por la suma de $24.300,00 c/u. Por única propuesta y precio corriente en plaza.
Item 7: A la firma: RIVAROLA, ALEJANDRA BEATRIZ por la suma de $24.300,00 c/u. Por única propuesta y precio corriente en plaza. 
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26684",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",79170,2022,"CONTRATACIÓN DEL SERVICIO DE VIANDAS PARA LA DIRECCIÓN GENERAL DE INTEGRACIÓN COMUNITARIA ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT"" -VER CIRCULAR-","8.235.000,00",",00",",00","","02/01/2023","11/01/2023",47,,,,"A la firma:ORIVE, ESTEBAN JESUS por la suma de $7.875.000,00 Total Global. Por mejor precio.       ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26688",
"Secretaría de Salud Pública","Licitación Pública",29300,2022,"CONTRATACION DEL SERVICIO DE VIGILANCIA PRIVADA PARA EL EDIFICIO CEMAR-MARTIN DEPENDIENTE DE LA SECRETARIA DE SALUD PUBLICA DE LA MUNICIPALIDAD DE ROSARIO","70.704.000,00","190.900,80",",00","","03/01/2023","24/04/2023",447,,,,"Se ADJUDICA a BUNKER SEGURIDAD SRL, CUIT:30-71065431-6 por la suma total de $108.412.800.- valor hora hombre $2300.- por 12 meses o un total de 47136 horas anuales.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26529",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"BIOMEDICOS CATETERES, SONDAS Y EQUIPOS DE USO GENERAL","3.988.400,00",",00","10.769,00","","03/01/2023","17/01/2023",116,,,,"
RESOLUCION Nro.: 0116
	
Rosario, ?CUNA DE LA BANDERA?, 17 de Enero de 2023

VISTO el llamado a Licitación Privada Nº 02-001/23 efectuado por el H.E.C.A. para la adquisición de ?BIOMEDICOS CATETERES, SONDAS Y EQUIPOS DE USO GENERAL? , dependiente de la Secretaria de Salud Publica, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE
      
      ART. 1º: DESESTIMASE: Item N°8: Desestimado por el Servicio de Farmacia por sobreprecio.-

         ART. 2º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: DEALER MEDICA S.R.L., en el/los ítem/s -22 por un importe total de $ 26.136,00 (pesos veintiseis mil ciento treinta y seis con 00/00)
ADJUDICATARIO: DROG. KELLERHOFF S.A., en el/los ítem/s 1,2,3,4,y5 por un importe total de $ 1.414.102,00 (pesos un millón cuatrocientos catorce mil ciento dos con 00/00)
ADJUDICATARIO: DROG. NUEVA ERA ROSARIO S.R.L., en el/los ítem/s 9,10,16,17,18y19 por un importe total de $ 1.328.150,00 (pesos un millón trescientos veintiocho mil ciento cincuenta con 00/00)
ADJUDICATARIO: SEYER S.R.L., en el/los ítem/s 6,7y11 por un importe total de $ 599.700,00 (pesos quinientos noventa y nueve mil setecientos con 00/00)
ADJUDICATARIO: DROG. COMARSA S.A., en el/los ítem/s 12,13,14,15,20,21y23 por un importe total de $ 1.055.617,20 (pesos un millón cincuenta y cinco mil seiscientos diecisite con 20/00)


      ART. 3º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de la siguiente manera:
       A la partida: 0.08020.1.08.02.0.1.01.01.2.1.02.09.05.22 ó 0.08020.1.08.02.0.2.01.14.2.1.02.09.05.22 ó 0.08020.1.08.02.0.2.01.15.2.1.02.09.05.22 (BIOMEDICOS CATETERES, SONDAS Y EQUIPOS DE USO GENERAL) la cantidad de $ 4.423.705,20 (pesos cuatro millones cuatrocientos veintitres mil setecientos cinco con 20/00) del presupuesto vigente y con estricto cumplimiento del Art.55 de la Ordenanza de Contabilidad; según corresponda.-


      ART. 4º: COPIAR comunicar a quien corresponda y archivar.
 
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26558",
"Secretaría de Igualdad, Género y Derechos Humanos","Licitación Privada",36192,2022,"SERVICIO DE LIMPIEZA PARA EL EDIFICIO SITO EN AV. BELGRANO 634, DE LA DIRECCION DE MUJERES E IGUALDAD","2.234.400,00","4.468,80",",00","","03/01/2023","21/03/2023",6,,,,"Adjudicar a la firma  KL SERVICIOS DE LIMPIEZA S.R.L, la licitación Privada N° 143, destinada a la contratación del Servicio de Limpieza para la Dir. de Mujeres e Igualdad de la Secretaría de Género y Derechos Humanos; Ítem N° 1: por única propuesta y precio corriente en plaza. Precio hombre $1.580. Precio total $ 1.858.080.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26604",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"MATERIALES PARA HERRERIA","978.400,00",",00","1.957,00","","03/01/2023","17/01/2023",115,,,,"RESOLUCION Nro.000115

Rosario, Cuna de la Bandera, 17/ene/2023

Y VISTO: el llamado a Licitación Privada Nro. 02-002/23 efectuado por el Servicio de Arquitectura del Hospital de Emergencias DR. Clemente Alvarez, cuyo objeto es la adquisición de MATERIALES PARA HERRERIA.


Y CONSIDERANDO: Que la única oferta presentada condiciona la oferta económica no ajustandose a las condiciones del pliego licitatorio, por lo que corresponde desestimar la misma y declarar fracasada la presente licitación


POR ELLO Y EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE:

Art. 1ero.: DESESTIMAR: la oferta presentada por la firma ARROYITO MAQUINARIAS S.R.L. de acuerdo a los considerandos de la presente resoluciòn.

Art. 2do.: DECLARAR FRACASADA: la Licitación Privada Nro. 02-002/23 efectuada por el Servicio de Arquitectura deL Hospital de Emergencias Dr. Clemente Alvarez, cuyo objeto es la adquisición de MATERIALES PARA HERRERIA.

Art 3ro.: DISPONER, que la administración Pública efectuará un nuevo llamado cuando lo estime conveniente.

Art. 4to.: COPIAR, comunicar a quienes corresponda y archivar.","Fracasada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26612",
"Secretaría de Salud Pública","Licitación Privada",0,0,"Para la contratación del servicio de transporte de personas con vehículo","2.350.000,00",",00","4.700,00","","03/01/2023","16/01/2023",109,,,,"Licitación N° 01-042-2022 por la contratación del servicio Transporte de personas para dispositivo soporte de guardias, resolución N° 000109 del 16/01/2023. Se declara Desierta.","Desierta","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26613",
"Secretaría de Igualdad, Género y Derechos Humanos","Licitación Privada",20093,2022,"SERVICIO DE LIMPIEZA PARA CENTROS DE PROTECCION ALICIA MOREAU Y CASA AMIGA","1.490.400,00","2.980,80",",00","","03/01/2023","20/03/2023",9,,,,"K L SERVICIO DE LIMPIEZA S.R.L. CUIT: 30-71762683-0  para los ítems 1 y 2 por única propuesta y precio corriente en plaza  por un total de $1.941.840 ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26614",
"Secretaría de Cultura y Educación","Licitación Privada",38746,2022,"Servicio de provisión de bidones de agua potable y dispensers de agua frío-calor para la Secretaría de Cultura y Educación","1.450.000,00","2.900,00",",00","","03/01/2023","31/01/2023",48,,,,"Se adjudicó a la firma ""AGUAS DEL SUR S.A."" por única propuesta y precio corriente en plaza, por la suma total de $ 1.422.500.- (Pesos Un Millón Cuatrocientos Veintidós Mil Quinientos).","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26622",
