"Repartición Licitante","Tipo de Licitación","Nro. Expediente","Año Expediente","Objeto","Monto Oficial","Costo Pliego","Sellado","Observaciones","Fecha Apertura","Fecha Resolución","Nro. Resolución","Tipo de Norma","Nro de Norma","Año Norma","Resultado","Estado","Link",
"Hospital Intendente Gabriel Carrasco","Concurso de Precios",0,0,"Provisión de Productos Médicos y Descartables","5.256.100,20",",00",",00","","02/01/2024","12/01/2024",83,,,,"Rosario, ?2023 - A 40 AÑOS DE LA RECUPERACIÓN DE LA DEMOCRACIA? Resolución N° 000083 12/01/2024

Y VISTO: La nota de pedido, por la cual la Dirección Asociada Administrativa del Hospital I. Carrasco solicita se autorice la compra urgente de Productos Médicos y Descartables ya que dichos insumos habían quedado desestimados por sobreprecio en las últimas licitaciones privadas.
Y CONSIDERANDO: Que la Jefa de Farmacia del Hospital I. Carrasco, Farm. Evelina Puntorillo, solicita la compra nuevamente de éstos insumos, por necesidad y urgencia, a través del concurso de Precios N° 04-107/23.
                    Que de conformidad a la Ordenanza Nro. 10037 dictada en fecha 19 de marzo de 2020, que aprueba el Protocolo de Agilización de relaciones institucionales municipales en materia sanitaria, en su artículo cuarto,  y conforme a las facultades otorgadas por el artículo 11 de la L.O.M y el art 68 inc.  de la O.C  se autoriza al  Departamento Ejecutivo a efectuar por el plazo de 30 días la compra de los rubros de alimentos, medicamentos e insumos médicos que sean necesarios para la contención social y sanitaria de la población.
	 	         Que por lo tanto el órgano legislativo exime por razones de urgencia al Departamento Ejecutivo, de efectuar los procedimientos de compras, que por monto hubieran correspondido incorporar, según la Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el artículo 68 inc. a de la Ordenanza de Contabilidad.
                     Que, de acuerdo a la nota de referencia, la contratación directa se fundamenta en la importancia de garantizar el normal funcionamiento del Servicio de la Guardia del efector.
                     Que la Ordenanza 10037 fue prorrogada por 180 días por Ordenanza Nro: 10179/2021, prorrogada por la Ordenanza Nº 10312/2022, prorrogada por Ordenanza Nº10380/2022, prorrogada por Ordenanza Nº 10497/2023 y prorrogada por Ordenanza Nº10.557.

LA SECRETARÍA DE SALUD PÚBLICA RESUELVE

Art. 1°: ADJUDICASE el precitado Concurso de Precios en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-
ADJUDICATARIOs:
Droguería Comarsa S.A.: Ítems 9, 10, 11, 13, 14, 15, 18, 19, 20, por un importe total de pesos seiscientos setenta y dos mil setecientos sesenta y tres con 10/100 ($672.763.10.-).
Droguería Kellerhoff S.A.: Ítem 12; por un importe total de pesos de un millón ochocientos sesenta y cuatro mil seiscientos ($1.864.600.-).
Nueva Era Rosario S.R.L.; ítems: 1. 4. 6. 7, 16; por un importe total de pesos de tres millones seiscientos noventa y nueve mil trecientos cincuenta ($3.699.350.-).
Droguería New Drog S.R.L.: ítem: 5, por un importe total de pesos de seiscientos setenta y seis mil trecientos diez ($676.310.-).
Drogueria Monumento S.A.: Ítem 2; por un importe total de pesos de doscientos ocho mil  ($208.000.-).

Art. 2º: DECLARESE DESESTIMADO: Ítems 3, 8, 17.

Art. 3º: DECLARESE DESIERTO: ítem 21.

Art. 4º: EL GASTO que demande el cumplimiento de la presente Resolución se imputará de la siguiente manera:
A la Partida 0.8042. 01. 08. 04. 00. 01. 01. 1. 2. 1. 02. 09. 05. 01 Biomédicos de Uso General, por un importe total de pesos de dos millones setecientos veintidós mil trescientos treinta y siete ($2.722.337.-);
A la Partida 0.8042. 01. 08. 04. 00. 01. 01. 1. 2. 1. 02. 09. 05. 20 Biomédicos elementos de protección personal, por un importe total de pesos de un millón ochocientos sesenta y cuatro mil seiscientos ($1.864.600.-);
A la Partida 0.8042. 01. 08. 04. 00. 01. 01. 1. 2. 1. 02. 09. 05. 21 Insumos para Curaciones, por un importe total de pesos de dos millones cuatrocientos veinte ocho mil trecientos diez ($2.428.310);
A la Partida 0.8042. 01. 08. 04. 00. 01. 01. 1. 2. 1. 02. 09. 05. 22 Biomédicos Catéteres, sondas y equipos de uso general, por un importe total de pesos de ciento cincuenta y cinco mil setecientos setenta y seis con 10/100 ($105.776.10.-);
del Presupuesto 2024, con estricto cumplimiento del Art. 55 de la ordenanza de contabilidad según corresponda.

Art. 5º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29518",
"Secretaría de Cultura y Educación","Licitación Privada",39621,2023,"Servicio de seguridad y vigilancia para la Biblioteca Argentina ""Dr. Juan Álvarez""","11.600.000,00","31.320,00",",00","","03/01/2024","18/03/2024",102,,,,"Se declaró fracasado el llamado a licitación por no poder adjudicarse la única oferta presentada por vencimiento del plazo de mantenimiento de oferta.","Fracasada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29429",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"MATERIALES PARA IMPLEMENTACION RELOJ DE MARCACION CONS. EXTERNOS (RED Y ACCESORIOS) HOSPITAL VILELA","2.149.000,00",",00","4.298,00","","03/01/2024","17/01/2024",134,,,,"RESOLUCIÓN Nº: 000134
ROSARIO, ?CUNA DE LA BANDERA? 17 DE ENERO 2024
Visto el llamado a Licitación Privada Nº:03-169/2023 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisicion de MATERIALES PARA IMPLEMENTACION RELOJ DE MARCACION CONS EXTERNOS (RED Y ACCESORIOS), dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;
EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE
        
Articulo 1º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-    
ADJUDICATARIOS: GRUPO CONSULTAR SRL Item 01, única propuesta, pesos cuatro millones veintiocho mil ochocientos veintiuno c/09.- ($4.028.821,09.-)
ART. 2º EL GASTO: que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08035.1.08.03.00.1.01.01.2.1.02.09.06.00 (Repuestos y accesorios), la cantidad de pesos cuatro millones veintiocho mil ochocientos veintiuno c/09.- ($4.028.821,09.-) Del ejercicio 2024 
A la partida: 0.08035.1.08.03.00.2.01.15.2.1.02.09.06.00 (Repuestos y accesorios), la cantidad de pesos cuatro millones veintiocho mil ochocientos veintiuno c/09.- ($4.028.821,09.-) Del ejercicio 2024 
A la partida: 0.08035.1.08.03.00.2.01.17.2.1.02.09.06.00 (Repuestos y accesorios), la cantidad de pesos cuatro millones veintiocho mil ochocientos veintiuno c/09.- ($4.028.821,09.-) Del ejercicio 2024  
ART. 3º: COPIAR: comunicar a quien corresponda y archivar.
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29483",
"Hospital Intendente Gabriel Carrasco","Licitación Privada",0,0,"Provisión de Papel Higiénico","1.235.520,00","2.471,00",",00","","03/01/2024","09/01/2024",60,,,,"Rosario, Cuna de la Bandera RESOLUCIÓN N° 000060 09/01/2024

Y VISTO el llamado a Licitación Privada Nº 083/23 efectuado para la provisión de Papel Higiénico para el  Hosp. I. Carrasco, dependiente de la Secretaría de Salud Pública.

Y CONSIDERANDO los informes obrantes en el mencionado legajo, siendo conveniente a tales efectos proveer al respecto:

EN USO DE SUS ATRIBUCIONES LA SECRETARÍA DE SALUD PÚBLICA RESUELVE

Art. 1º: ADJUDICASE la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIOs:
&#61553;	Hugo S. Solans.: ítems: 1; 2; por un importe total de pesos de novecientos ochenta y siete mil ochocientos cuarenta ($987.840.-).

Art. 2º: EL GASTO que demande el cumplimiento de la presente Resolución se imputará de la siguiente manera:
A la partida: 0.8045. 01. 08. 04. 00. 01. 01. 01. 02. 01. 02. 03. 03. 00. Otros artículos de papel o cartón, por un importe total de novecientos ochenta y siete mil ochocientos cuarenta ($987.840.-) del Presupuesto 2024, con estricto cumplimiento del Art. 55 de la ordenanza de contabilidad según corresponda.

Art. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29493",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Concurso de Precios",1,2024,"HORMONALES","12.932.000,00",",00",",00","","03/01/2024","09/01/2024",54,,,,"RESOLUCION  N.º 000054
Rosario, ? CUNA DE LA BANDERA?  09 ENE 2024

VISTO el llamado a Concurso de Precios Nro: 01/01 efectuado por el H.E.C.A., dependiente de la Secretaria de Salud Publica, para la adquisición de ?(HORMONALES)? , y teniendo en cuenta los informes obrantes en el mencionado legajo.
Y VISTO: La  necesidad de efectuar adquisición  de medicamentos, insumos médicos, ,material descartable y elementos indispensables para la prestación del servicio de salud, en los efectores que integran la red de salud de esta Secretaria de Salud Pública.

        Y CONSIDERANDO:  Que de conformidad a las Ordenanzas  nro: 10.037 dictadas en fecha 19 de marzo de 2020, y sus correspondientes prórrogas y debidamente promulgadas, el Concejo Municipal aprueba el  Protocolo de Agilización  de relaciones instiucioanles municipales en materia sanitaria, en su articulo cuarto,  y conforme las facultades otorgadas pro el articulo 11 de la L.O.M y el art 68 inc a de la O.C al se autoriza, al  Departamento Ejecutivo a efectuar por el plazo de 180 días la contratación directa de los bienes y  servicios que sean necesarios para la contención social y sanitaria de la población.
Que por lo tanto el órgano legislativo exime por razones de urgencia, al Departamento Ejecutivo de efectuar los procedimientos de compras, que por monto hubieran correspondido incoar, según la Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el articulo 68 inc a de la Ordenanza de Contabilidad.
Que no obstante esta autorización otorgada y a los fines de asegurar total transparencia y permitir la mayor participación se han efectuado invitaciones y publicación del llamado para  obtener también las ofertas mas conveniente y que permitan con ello, una afectación de los recursos en la mayor atención de las necesidades que imponga el desarrollo de la pandemia en su propagación.

                           
                        SIENDO NECESARIO PROVEER SOBRE EL PARTICULAR 
                                               EN USO DE SUS ATRIBUCIONES
LA SECRETARÌA DE SALUD PÙBLICA RESUELVE

ART. 1º: DESESTIMASE: ítem Nº1 por la condición de pago; ítems Nº2 y 7 por la condición de pago y sobreprecio;  ítems Nº3,5 y 8 por  sobreprecio, conforme a informe del servicio a fs 81.

ART. 2º: DECLARANSE DESIERTOS: item Nº6.

ART. 3º: ADJUDICASE: el precitado Concurso en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: DROGUERIA NUEVA ERA S.R.L., en  el ítem  4  por un importe total de $  44.000,00 (pesos cuarenta y cuatro mil con 00/00).

     ART. 4º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de  Liquidación de Haberes y Administrativo-Contable de manera optativa a las siguientes partidas:          
0.08020.1.08.02.0.1.01.1.2.1.02.05.02.02; 0.08020.1.08.02.0.2.01.15.2.1.02.05.02.02; 0.08020.1.08.02.0.2.01.14.2.1.02.05.02.02;  (HORMONALES) la cantidad de $ 44.000,00 
(pesos cuarenta y cuatro mil con 00/00), del presupuesto  vigente y con estricto cumplimiento del art 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 5º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29535",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",89646,2023,"COMPRA DE CARGAS DE GAS PROPANO PARA LA DIRECCIÓN GENERAL DE INTEGRACIÓN COMUNITARIA ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","400.000,00",",00",",00","","03/01/2024","03/01/2024",0,,,,"DESIERTO","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29549",
"Dirección General de Prevención y Atención de las Violencias de Genero","Concurso de Precios",1,2024,"Suministro de producto de almacen para la Dir. de atención y prevención de las violencias de genero ","440.000,00",",00",",00","","03/01/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29556",
"Maternidad Martin","Contratación Directa",0,0,"ROLLOS DE POLIETILENO CRISTAL - MATERNIDAD MARTIN",",00",",00",",00","","03/01/2024","03/01/2024",18,,,,"RESOLUCIÓN N.º 000018
Rosario ?Cuna de la Bandera?,  04/01/2024
Y VISTO: 
	La necesidad de efectuar adquisición de medicamentos, insumos médicos, material descartable y otros elementos indispensables para la prestación del servicio de salud, en los efectores que integran la red de salud de esta Secretaria de Salud Pública, con el objeto de atender a la URGENCIA solicitada por Maternidad Martin-Cemar realizando un pedido de cotización Nº 07-002-2024 para compra directa, tramitada  para la adquisición de ?rollos de polietileno cristal?.
Y CONSIDERANDO: 
	Que de conformidad a la Ordenanza nro: 10037 y sus sucesivas prorrogas, debidamente promulgada el Concejo Municipal aprueba el Protocolo de Agilización de relaciones institucionales municipales en materia sanitaria, en su articulo cuarto, y conforme las facultades otorgadas pro el articulo 11 de la L.O.M y el art 68 inc a de la O.C al se autoriza, al Departamento Ejecutivo a efectuar por el plazo de 180 días la contratación directa de los bienes y  servicios que sean necesarios para la contención social y sanitaria de la población.
	Que por lo tanto el órgano legislativo exime por razones de urgencia, al Departamento Ejecutivo de efectuar los procedimientos de compras, que por monto hubieran correspondido incoar, según la Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el articulo 68 inc a de la Ordenanza de Contabilidad.
	Que no obstante esta autorización otorgada y a los fines de asegurar total transparencia y permitir la mayor participación, se ha efectuado EL PEDIDO DE COTIZACIÓN N.º 07-002-2024 CON FECHA DE APERTURA 03/01/2024 a las 10:00 HS para obtener también las ofertas mas conveniente y que permitan con ello una afectación de los recursos en la mayor atención de las necesidades de la Institución.
	Que efectuada la apertura en el día y hora fijada, y habiéndose analizadas las distintas ofertas presentadas  (1 OFERTA VÁLIDA, PAC HABILITADO).   
		Siendo necesario proveer sobre el particular, en uso de sus atribuciones


LA SECRETARÍA DE SALUD PUBLICA
   RESUELVE


Articulo 1º: ADJUDICASE la precitada Compra Directa en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.- 
ADJUDICATARIO: 
LEONARDO O. SECCO, ITEM N.º 1 por un importe total de $ 1.350.000.- (son pesos un millón trescientos cincuenta mil).-
Artículo 2º: EL GASTO que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08076.1.08.07.00.01.01.01.2.1.02.05.08.00 (productos de material plástico) la cantidad de pesos $ 1.350.000.- (son pesos un millón trescientos cincuenta mil); del presupuesto vigente, con el estricto cumplimiento del art 55 de la ord de contabilidad según corresponda. 
Articulo 3º: COPIAR, comunicar a quienes corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29558",
"Centro Municipal de Distrito Oeste ""Felipe Moré""","Licitación Pública",33006,2023,"Contratación del Servicio de Seguridad y Vigilancia por parte de una empresa especializada, que tendrá a su cargo la vigilancia, protección, custodia de las personas y preservación e integridad de los bienes que se encuentran definitiva u ocasionalmente en el Centro Municipal de Distrito Oeste ""Felipe Moré"" ","165.822.572,30","447.720,95",",00","","04/01/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29380",
"Hospital ""Dr. Juan Bautista Alberdi""","Licitación Privada",0,0,"Específicos Generales Hospital J. B. Alberdi","19.205.283,25","51.854,00",",00","","04/01/2024","17/01/2024",127,,,,"
  Municipalidad de Rosario Secretaría de Salud   Pública 

              RESOLUCION Nº         000127

Rosario, ?CUNA DE LA BANDERA? 17 de Enero 2024

         VISTO  el llamado a Licitación Privada Nº 06/032/23 efectuado por  la farmacia para adquisición de medicamentos para el  Hospital J. B. Alberdi, dependiente de la Secretaría de Salud Pública,  y  teniendo en cuenta los informes obrantes en el mencionado legajo , considerando conveniente proveer al respecto,

EN USO DE SUS ATRIBUCIONES 
LA SECRETARIA DE SALUD PUBLICA

RESUELVE

ART.1°: SE DESESTIMAN: 

Item: 1-2-3-4-7-8-9-10-11-12-14-15-16-17-18-19-20-21-22-23-24-25-27-28-32-37-38-39-43-44-45-49-51-52-53-54-55-56-58-59-61-62-64-66-68-69-70-71-72-73-75-76-78-79-80-81-82-83-84-85-88-89-91-92-94-95-96-97-99-100


            ADJUDICATARIO:

Droguería  Lider  S.A., por un importe tatal de $?????.????......?..213,000,00
   Item N° : 40-90

  Droguería Boshc-Grupo Boshc S.C  por un  importe de $???....???.... 216.929,00
   Item N°: 71-93

Droguería Nueva Era S.R.L., por un importe total de $??????..?..... 8.843.099,70
  Item N°: 5-29-31-35-48-50-60-67-74-77-86

Droguería Comarsa S.A., por un importe total de $?????..???.....?  494.288,25
   Item N°: 47


Droguería Kellerhoff S.A., por un importe tatal de $?????..??...?...3.460.730,00
   Item N° : 6-26-30-33-34-42-46-57-65-98
                     
                                                                                              _____________________
                                                                          
                                                                                                TOTAL: $??..13.228.046,95
       


ART. 3º:EL GASTO que demande el cumplimiento de la presente Resolución se imputará de la siguiente manera:

        A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.01 ( Anestesicos) la cantidad de $42.000,00 ( Son pesos  cuarenta y dos mil- )
      
           A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.03 ( Inyectables mayores sueros ) la cantidad de $59.940,00 ( Son pesos   cincuenta y nueve mil novecientos cuarenta. )

       A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.04( Antiinfecciosos de uso gral. ) la cantidad de $905.712,00 ( Son pesos  novecientos cinco mil setecientos doce )
      
          A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.10 (Antiinfeccioso de uso normatizado )   la cantidad de $ 162.500,00  ( Son pesos  ciento sesenta y dos mil quinientos.)

    A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.12 (Drogas cardiológicas ,cardiovasculares generales ) la cantidad de $ 435.000,00  ( Son pesos  cuatrocientos treinta y cinco mil-)
    
   A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.13 Drogas tracto alimentario y metabolismo generales) la cantidad de $ 312.040,00 (Son pesos  trescientos doce mil cuarenta  )

     A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.14 ( Drogas sistema nervioso central Psicofarmacos ) la cantidad de  $ 385.490,00    ( Son pesos trescientos ochenta y cinco mil cuatrocientos noventa.-)

      A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.16 (Drogas vias aereas-aerosoles  )   la cantidad de $ 253.350,00  ( Son pesos  doscientos cincuenta y tres mil trescientos cincuenta-)

    A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.20 (Analgésicos)   la cantidad de $1.296.517,00  (Son pesos   un millón q nietos diecisite.-)

 A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.23 (Especificos generales)   la cantidad de $87.500,00 Son pesos   ochenta y siete mil quinientos.-)

         A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.25 ( Inyectables menores ) la cantidad de
 $ 1.137.500,00 ( Son pesos  un millón ciento treinta y siete mil quinientos-)

 
      A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.29 (Psicofarmacos y estupefacientes) la cantidad de $1.042.172,95 (Son pesos  un millón cuarenta y dos mil ciento setenta y dos con 95/100.-)

A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.31 (Oftalmologicos )- la cantidad de  $ 105.000,00 (Son pesos  ciento cinco mil .-)
 
  
   A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.32 (Drogas cardiológicas y cardiovasculares nomatizadas )- la cantidad de  $ 29.925,00  (Son pesos  veintinueve mil novecientos veinticinco .-)







 A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.33 (Drogas tracto alimenticios y metabolismo  nomatizadas )- la cantidad de  $ 408.900,00  (Son pesos  cuatrocientos ocho mil novecientos .-)
 
     A la partida: 0.08064.1.08.06.0.1.1.1.2.1.2.5.2.34 (Anticuagulantes)- la cantidad de  $6.564.500,00 Son pesos    seis millones quinientos sesenta y cuatro mil quinientos-)






  del presupuesto  vigente con estricto cumplimiento del Art. 55 de la Ordenanza de Contabilidad según corresponda.
 


  ART.4°:  DESIERTOS:  13-36-41-63-87

    
          
 ART.5°:COPIAR , comunicar  a quien corresponda y archivar.                       ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29445",
